4 way domicile,Domicile,Level of study,Mode of study,Academic Year,Region of HE provider,Number
All,Russia,Postgraduate (taught),Full-time,2021/22,South West,30.0
All,Russia,Postgraduate (taught),Full-time,2021/22,The Open University in England,0.0
All,Russia,Postgraduate (taught),Full-time,2021/22,Wales,10.0
All,Russia,Postgraduate (taught),Full-time,2021/22,Scotland,95.0
All,Russia,Postgraduate (taught),Full-time,2021/22,Northern Ireland,10.0
All,Russia,Postgraduate (taught),Part-time,2021/22,North East,0.0
All,Russia,Postgraduate (taught),Part-time,2021/22,North West,5.0
All,Russia,Postgraduate (taught),Part-time,2021/22,Yorkshire and The Humber,5.0
All,Russia,Postgraduate (taught),Part-time,2021/22,East Midlands,5.0
All,Russia,Postgraduate (taught),Part-time,2021/22,West Midlands,10.0
All,Russia,Postgraduate (taught),Part-time,2021/22,East of England,0.0
All,Russia,Postgraduate (taught),Part-time,2021/22,London,50.0
All,Russia,Postgraduate (taught),Part-time,2021/22,South East,25.0
All,Russia,Postgraduate (taught),Part-time,2021/22,South West,5.0
All,Russia,Postgraduate (taught),Part-time,2021/22,The Open University in England,0.0
All,Russia,Postgraduate (taught),Part-time,2021/22,Wales,0.0
All,Russia,Postgraduate (taught),Part-time,2021/22,Scotland,15.0
All,Russia,Postgraduate (taught),Part-time,2021/22,Northern Ireland,0.0
All,Russia,First degree,Full-time,2021/22,North East,60.0
All,Russia,First degree,Full-time,2021/22,North West,110.0
All,Russia,First degree,Full-time,2021/22,Yorkshire and The Humber,60.0
All,Russia,First degree,Full-time,2021/22,East Midlands,70.0
All,Russia,First degree,Full-time,2021/22,West Midlands,70.0
All,Russia,First degree,Full-time,2021/22,East of England,85.0
All,Russia,First degree,Full-time,2021/22,London,965.0
All,Russia,First degree,Full-time,2021/22,South East,245.0
All,Russia,First degree,Full-time,2021/22,South West,175.0
All,Russia,First degree,Full-time,2021/22,The Open University in England,0.0
All,Russia,First degree,Full-time,2021/22,Wales,30.0
All,Russia,First degree,Full-time,2021/22,Scotland,150.0
All,Russia,First degree,Full-time,2021/22,Northern Ireland,5.0
All,Russia,First degree,Part-time,2021/22,North East,0.0
All,Russia,First degree,Part-time,2021/22,North West,0.0
All,Russia,First degree,Part-time,2021/22,Yorkshire and The Humber,0.0
All,Russia,First degree,Part-time,2021/22,East Midlands,0.0
All,Russia,First degree,Part-time,2021/22,West Midlands,0.0
All,Russia,First degree,Part-time,2021/22,East of England,0.0
All,Russia,First degree,Part-time,2021/22,London,15.0
All,Russia,First degree,Part-time,2021/22,South East,0.0
All,Russia,First degree,Part-time,2021/22,South West,0.0
All,Russia,First degree,Part-time,2021/22,The Open University in England,0.0
All,Russia,First degree,Part-time,2021/22,Wales,5.0
All,Russia,First degree,Part-time,2021/22,Scotland,5.0
All,Russia,First degree,Part-time,2021/22,Northern Ireland,0.0
All,Russia,Other undergraduate,Full-time,2021/22,North East,10.0
All,Russia,Other undergraduate,Full-time,2021/22,North West,0.0
All,Russia,Other undergraduate,Full-time,2021/22,Yorkshire and The Humber,0.0
All,Russia,Other undergraduate,Full-time,2021/22,East Midlands,0.0
All,Russia,Other undergraduate,Full-time,2021/22,West Midlands,0.0
All,Russia,Other undergraduate,Full-time,2021/22,East of England,10.0
All,Russia,Other undergraduate,Full-time,2021/22,London,35.0
All,Russia,Other undergraduate,Full-time,2021/22,South East,10.0
All,Russia,Other undergraduate,Full-time,2021/22,South West,10.0
All,Russia,Other undergraduate,Full-time,2021/22,The Open University in England,0.0
All,Russia,Other undergraduate,Full-time,2021/22,Wales,0.0
All,Russia,Other undergraduate,Full-time,2021/22,Scotland,10.0
All,Russia,Other undergraduate,Full-time,2021/22,Northern Ireland,0.0
All,Russia,Other undergraduate,Part-time,2021/22,North East,0.0
All,Russia,Other undergraduate,Part-time,2021/22,North West,0.0
All,Russia,Other undergraduate,Part-time,2021/22,Yorkshire and The Humber,0.0
All,Russia,Other undergraduate,Part-time,2021/22,East Midlands,0.0
All,Russia,Other undergraduate,Part-time,2021/22,West Midlands,5.0
All,Russia,Other undergraduate,Part-time,2021/22,East of England,0.0
All,Russia,Other undergraduate,Part-time,2021/22,London,10.0
All,Russia,Other undergraduate,Part-time,2021/22,South East,5.0
All,Russia,Other undergraduate,Part-time,2021/22,South West,0.0
All,Russia,Other undergraduate,Part-time,2021/22,The Open University in England,0.0
All,Russia,Other undergraduate,Part-time,2021/22,Wales,0.0
All,Russia,Other undergraduate,Part-time,2021/22,Scotland,10.0
All,Russia,Other undergraduate,Part-time,2021/22,Northern Ireland,0.0
All,Turkey,Postgraduate (research),Full-time,2021/22,North East,40.0
All,Turkey,Postgraduate (research),Full-time,2021/22,North West,75.0
All,Turkey,Postgraduate (research),Full-time,2021/22,Yorkshire and The Humber,70.0
All,Turkey,Postgraduate (research),Full-time,2021/22,East Midlands,70.0
All,Turkey,Postgraduate (research),Full-time,2021/22,West Midlands,65.0
All,Turkey,Postgraduate (research),Full-time,2021/22,East of England,65.0
All,Turkey,Postgraduate (research),Full-time,2021/22,London,195.0
All,Turkey,Postgraduate (research),Full-time,2021/22,South East,145.0
All,Turkey,Postgraduate (research),Full-time,2021/22,South West,90.0
All,Turkey,Postgraduate (research),Full-time,2021/22,The Open University in England,0.0
All,Turkey,Postgraduate (research),Full-time,2021/22,Wales,35.0
All,Turkey,Postgraduate (research),Full-time,2021/22,Scotland,130.0
All,Turkey,Postgraduate (research),Full-time,2021/22,Northern Ireland,15.0
All,Turkey,Postgraduate (research),Part-time,2021/22,North East,0.0
All,Turkey,Postgraduate (research),Part-time,2021/22,North West,5.0
All,Turkey,Postgraduate (research),Part-time,2021/22,Yorkshire and The Humber,0.0
All,Turkey,Postgraduate (research),Part-time,2021/22,East Midlands,0.0
All,Turkey,Postgraduate (research),Part-time,2021/22,West Midlands,0.0
All,Turkey,Postgraduate (research),Part-time,2021/22,East of England,0.0
All,Turkey,Postgraduate (research),Part-time,2021/22,London,15.0
All,Turkey,Postgraduate (research),Part-time,2021/22,South East,5.0
All,Turkey,Postgraduate (research),Part-time,2021/22,South West,5.0
All,Turkey,Postgraduate (research),Part-time,2021/22,The Open University in England,0.0
All,Turkey,Postgraduate (research),Part-time,2021/22,Wales,5.0
All,Turkey,Postgraduate (research),Part-time,2021/22,Scotland,5.0
